Sentence,Error Explanation
"There is five apples in the basket.","Subject-verb agreement error: 'is' should be 'are' to match the plural noun 'apples.'"
"He don't know how to solve this problem.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"She speaks three languages: French, Spanish, and italian.","Incorrect capitalization: 'italian' should be capitalized as 'Italian.'"
"The childrens played in the park all afternoon.","Incorrect plural form: 'childrens' should be 'children.'"
"He work hard every day to support his family.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He.'"
"I have went to that museum before.","Incorrect verb form: 'have went' should be 'have gone' in the present perfect tense."
"She don't believe what he said.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"The car needs washed.","Incorrect passive construction: 'needs washed' should be 'needs to be washed.'"
"We was all surprised by the news.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'We.'"
"She is a very good cook, she makes delicious meals.","Comma splice error: two independent clauses should be separated by a semicolon or period."
"The dog is laying on the couch.","Incorrect verb form: 'laying' should be 'lying' as there is no direct object."
"They are different in colour.","Incorrect spelling: 'colour' should be spelled as 'color' in American English."
"He don't know how to play the piano.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"I have ate breakfast already.","Incorrect verb form: 'have ate' should be 'have eaten' in the present perfect tense."
"She don't like to swim in the ocean.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"The book was wrote by a famous author.","Incorrect verb form: 'was wrote' should be 'was written.'"
"They was very tired after the long journey.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"She can sings beautifully.","Incorrect verb form: 'sings' should be 'sing' as 'can' already indicates ability."
"The boys bikes were stolen last night.","Incorrect plural possessive: 'boys bikes' should be 'boys' bikes.'"
"He must of forgotten to call me.","Incorrect use of 'of': should be 'have' as in 'must have.'"
"She always wear blue on Fridays.","Incorrect verb form: 'wear' should be 'wears' to match the singular subject 'She.'"
"The team haven't decided on a strategy yet.","Subject-verb agreement error: 'haven't' should be 'hasn't' to match the singular subject 'team.'"
"The baby's toys are scattered all over it's room.","Incorrect use of 'it's': should be 'its' to show possession, not a contraction."
"They are planning to went to the beach this weekend.","Incorrect verb form: 'to went' should be 'to go.'"
"He work at the hospital as a nurse.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He.'"
"The cat sleeps most of the day, it only wakes up to eat.","Comma splice error: two independent clauses should be separated by a semicolon or period."
"She don't know how to drive a car.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"There's a lot of people here tonight.","Subject-verb agreement error: 'is' should be 'are' to match the plural noun 'people.'"
"The teacher explained the problem two times.","Incorrect use of 'two times': should be 'twice.'"
"We could of gone to the concert if we had bought tickets earlier.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"The dog barked loudly when it seen the mailman.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He is very more intelligent than his brother.","Incorrect comparative form: 'more intelligent' should be 'smarter' or 'more intelligent than.'"
"We used to went to that restaurant every Friday.","Incorrect verb form: 'used to went' should be 'used to go.'"
"She is going to the gym to workout.","Incorrect use of 'workout': should be 'work out' as a verb."
"The cat's are hiding under the bed.","Incorrect plural possessive: 'cat's' should be 'cats'.'"
"I didn't seen her at the party last night.","Incorrect verb form: 'didn't seen' should be 'didn't see.'"
"The sun sets in the west and rises in the east.","Subject-verb agreement error: 'sets' should be 'rises' to match the plural subject 'sun.'"
"He plays piano very well.","Incorrect article: 'plays piano' should be 'plays the piano.'"
"She don't have any money left.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"The childrens' toys are scattered all over the yard.","Incorrect plural possessive: 'childrens'' should be 'children's.'"
"I could of done better on the exam if I had studied harder.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"They was waiting for the bus when it started raining.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"She don't know where he lives.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"We seen a movie last night.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"The news are always full of sensational stories.","Subject-verb agreement error: 'are' should be 'is' to match the singular noun 'news.'"
"He should of listened to her advice.","Incorrect use of 'of': should be 'have' as in 'should have.'"
"The dog's wagged its tail when it saw its owner.","Incorrect use of 'it's': should be 'its' to show possession, not a contraction."
"She run every morning to stay fit.","Incorrect verb form: 'run' should be 'runs' to match the singular subject 'She.'"
"The students doesn't have to wear uniforms on Fridays.","Subject-verb agreement error: 'doesn't' should be 'don't' to match the plural subject 'students.'"
"I have went to New York City twice.","Incorrect verb form: 'have went' should be 'have gone.'"
"He don't want to go to the party tonight.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"Their going to the beach tomorrow.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are.'"
"I seen that movie before.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't like spicy food.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"She don't know how to swim.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"The cat is laying on the bed.","Incorrect verb form: 'laying' should be 'lying' as there is no direct object."
"They was very happy to see you.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"I could of helped him if he asked.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"She always wear red on Mondays.","Incorrect verb form: 'wear' should be 'wears' to match the singular subject 'She.'"
"He don't know where he left his keys.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"The book was write by a famous author.","Incorrect verb form: 'was write' should be 'was written.'"
"They was playing in the park all afternoon.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"I seen her at the concert last night.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't have any pets.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"He must of misunderstood the instructions.","Incorrect use of 'of': should be 'have' as in 'must have.'"
"We was just talking about that.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'We.'"
"The dog's wagging it's tail.","Incorrect use of 'it's': should be 'its' to show possession, not a contraction."
"She don't like the cold weather.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"He work at a restaurant downtown.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He.'"
"I could of gone to the party if I had known about it.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"They was waiting for the bus when it arrived.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"The news is always full of sensational stories.","Subject-verb agreement error: 'is' should be 'are' to match the plural noun 'stories.'"
"He should of listened to her advice.","Incorrect use of 'of': should be 'have' as in 'should have.'"
"She run five miles every day.","Incorrect verb form: 'run' should be 'runs' to match the singular subject 'She.'"
"The students don't have class on Fridays.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the plural subject 'students.'"
"I could of been there on time if not for traffic.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"They was talking loudly in the library.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"The book's cover is torn.","Incorrect plural possessive: 'book's' should be 'book's.'"
"She don't understand the assignment.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"I have ate lunch already.","Incorrect verb form: 'have ate' should be 'have eaten' in the present perfect tense."
"We was planning to go to the movies.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'We.'"
"The cat's sleeping on its bed.","Incorrect use of 'it's': should be 'its' to show possession, not a contraction."
"He don't have time to talk right now.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"I could of sworn I saw him here yesterday.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"The childrens' teacher is very nice.","Incorrect plural possessive: 'childrens'' should be 'children's.'"
"She run a marathon last month.","Incorrect verb form: 'run' should be 'ran' in the past tense."
"The team don't have a game this weekend.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'team.'"
"They was surprised to see him there.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"I seen him at the store yesterday.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"The cat's chasing its tail.","Incorrect plural possessive: 'cat's' should be 'cat's.'"
"She don't like to be alone.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"He work hard every day.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He.'"
"I could of handled that situation better.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"They was going to visit us next week.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"Their going to the party later.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are.'"
"I seen this movie before.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't know the answer.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"She don't speak French.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"The book was write by Jane Austen.","Incorrect verb form: 'was write' should be 'was written.'"
"They was excited about the trip.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"I could of sworn I heard someone calling my name.","Incorrect use of 'of': should be 'have' as in 'could have.'"
"She always wear her hair in a bun.","Incorrect verb form: 'wear' should be 'wears' to match the singular subject 'She.'"
"He don't know how to swim.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"The cat's lying in the sun.","Incorrect plural possessive: 'cat's' should be 'cat's.'"
"They was hoping to finish the project today.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"They're going to the beach tomorrow.","Incorrect contraction usage: 'They're' should be 'Their' indicating possession."
"I saw that movie before.","Incorrect verb form: 'saw' is correct; 'seen' is unnecessary."
"He doesn't like spicy food.","Subject-verb agreement error: 'doesn't' should match the singular subject 'He'."
"She doesn't know how to swim.","Subject-verb agreement error: 'doesn't' should match the singular subject 'She'."
"The cat is lying on the bed.","Incorrect verb form: 'lying' should be used as there is no direct object."
"They were very happy to see you.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"I could have helped him if he asked.","Incorrect use of 'could of': 'could have' is correct."
"She always wears red on Mondays.","Subject-verb agreement error: 'wears' should match the singular subject 'She'."
"He doesn't know where he left his keys.","Subject-verb agreement error: 'doesn't' should match the singular subject 'He'."
"The book was written by a famous author.","Incorrect verb form: 'was written' is correct; 'was write' is incorrect."
"They were playing in the park all afternoon.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"I saw her at the concert last night.","Incorrect verb form: 'saw' is correct; 'seen' is unnecessary."
"She doesn't have any pets.","Subject-verb agreement error: 'doesn't' should match the singular subject 'She'."
"He must have misunderstood the instructions.","Corrected 'must of' to 'must have' for proper grammar."
"We were just talking about that.","Subject-verb agreement error: 'were' should match the plural subject 'We'."
"The dog's wagging its tail.","Incorrect use of 'it's': 'its' is the correct possessive form."
"She doesn't like the cold weather.","Subject-verb agreement error: 'doesn't' should match the singular subject 'She'."
"He works at a restaurant downtown.","Subject-verb agreement error: 'works' should match the singular subject 'He'."
"I could have gone to the party if I had known about it.","Corrected 'could of' to 'could have' for proper grammar."
"They were waiting for the bus when it arrived.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"The news is always full of sensational stories.","Subject-verb agreement error: 'is' should match the singular noun 'news'."
"He should have listened to her advice.","Corrected 'should of' to 'should have' for proper grammar."
"She runs five miles every day.","Subject-verb agreement error: 'runs' should match the singular subject 'She'."
"The students don't have class on Fridays.","Subject-verb agreement error: 'don't' should match the plural subject 'students'."
"I could have been there on time if not for traffic.","Corrected 'could of' to 'could have' for proper grammar."
"They were talking loudly in the library.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"The book's cover is torn.","Corrected 'book's' to 'book's' for proper possessive form."
"She doesn't understand the assignment.","Subject-verb agreement error: 'doesn't' should match the singular subject 'She'."
"I have eaten lunch already.","Corrected 'have ate' to 'have eaten' in the present perfect tense."
"We were planning to go to the movies.","Subject-verb agreement error: 'were' should match the plural subject 'We'."
"The cat's sleeping on its bed.","Incorrect use of 'it's': 'its' is the correct possessive form."
"He doesn't have time to talk right now.","Subject-verb agreement error: 'doesn't' should match the singular subject 'He'."
"I could have sworn I saw him here yesterday.","Corrected 'could of' to 'could have' for proper grammar."
"The children's teacher is very nice.","Corrected 'childrens'' to 'children's' for proper possessive form."
"She ran a marathon last month.","Incorrect verb form: 'ran' is correct; 'run' is unnecessary."
"The team doesn't have a game this weekend.","Subject-verb agreement error: 'doesn't' should match the singular subject 'team'."
"They were surprised to see him there.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"I saw him at the store yesterday.","Incorrect verb form: 'saw' is correct; 'seen' is unnecessary."
"The cat's chasing its tail.","Corrected 'cat's' to 'cat's' for proper possessive form."
"She doesn't like to be alone.","Subject-verb agreement error: 'doesn't' should match the singular subject 'She'."
"He works hard every day.","Subject-verb agreement error: 'works' should match the singular subject 'He'."
"I could have handled that situation better.","Corrected 'could of' to 'could have' for proper grammar."
"They were going to visit us next week.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"They're going to the party later.","Incorrect use of 'their': 'They're' is the correct contraction for 'they are'."
"I saw this movie before.","Incorrect verb form: 'saw' is correct; 'seen' is unnecessary."
"He doesn't know the answer.","Subject-verb agreement error: 'doesn't' should match the singular subject 'He'."
"She doesn't speak French.","Subject-verb agreement error: 'doesn't' should match the singular subject 'She'."
"The book was written by Jane Austen.","Incorrect verb form: 'was written' is correct; 'was write' is incorrect."
"They were excited about the trip.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"I could have sworn I heard someone calling my name.","Corrected 'could of' to 'could have' for proper grammar."
"She always wears her hair in a bun.","Subject-verb agreement error: 'wears' should match the singular subject 'She'."
"He doesn't know how to swim.","Subject-verb agreement error: 'doesn't' should match the singular subject 'He'."
"The cat's lying in the sun.","Corrected 'cat's' to 'cat's' for proper possessive form."
"They were hoping to finish the project today.","Subject-verb agreement error: 'were' should match the plural subject 'They'."
"She don't want to go to the party tonight.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He don't know where he put his keys.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"The cat is laying in the sun.","Incorrect verb form: 'laying' should be 'lying' as there is no direct object."
"They was supposed to meet us here.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of sworn I locked the door.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear jeans on casual Fridays.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't believe in ghosts.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"The book was write by Mark Twain.","Incorrect verb form: 'was write' should be 'was written'."
"They was going to the concert together.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I seen him at the park yesterday.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to eat seafood.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work as a teacher at the local school.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of helped you with that problem.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was looking forward to the party.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the movies later.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen this show before.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't have enough money to buy a new car.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"She don't understand the instructions.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"The book was write by J.K. Rowling.","Incorrect verb form: 'was write' should be 'was written'."
"They was going to the beach this weekend.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of gone to the party if I had known.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear sneakers to the gym.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't know how to fix the problem.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"Their going to the store after work.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the mall yesterday.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to watch horror movies.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work hard every day to support his family.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of finished the project earlier.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was planning to visit us next week.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the party tonight.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen this movie already.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't understand the assignment.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"She don't speak Spanish very well.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"The book was write by Agatha Christie.","Incorrect verb form: 'was write' should be 'was written'."
"They was excited to hear the news.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of sworn I left my keys on the table.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear a hat when it's sunny.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't know how to play the guitar.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"Their going to be late for the meeting.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the party last night.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to eat spicy food.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work long hours at the office.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of helped if you had asked.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was waiting for the bus when it arrived.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the concert tonight.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the park last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to swim in cold water.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work as a chef in a famous restaurant.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of finished the report earlier.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was hoping for good weather on their trip.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the party together.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen that movie twice.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"He don't know what to do next.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"She don't understand why he's upset.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"The book was write by Charles Dickens.","Incorrect verb form: 'was write' should be 'was written'."
"They was excited about the news.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"I could of sworn I heard something outside.","Incorrect use of 'of': should be 'have' as in 'could have'."
"She always wear sunglasses when it's sunny.","Subject-verb agreement error: 'wear' should be 'wears' to match the singular subject 'She'."
"He don't know how to fix computers.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He'."
"Their going to the beach this afternoon.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
"I seen him at the store last week.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"She don't like to eat spicy food.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She'."
"He work hard to support his family.","Incorrect verb form: 'work' should be 'works' to match the singular subject 'He'."
"I could of helped if you had asked.","Incorrect use of 'of': should be 'have' as in 'could have'."
"They was waiting for the bus when it arrived.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They'."
"Their going to the concert tonight.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are'."
